ConfIntervalDiff	ConfInterval
MilliUnits_per_litre	BioAndMedicalUnit
Eyedrops	DeliveryMethod
Cabergoline	Drug
BloodGlucose	EndPointDescription
Increment	ChangeValue
Saxagliptin	Drug
TimeUnit	BioAndMedicalUnit
Taiwan	Country
Bromocriptine	Drug
Peak_IOP	EndPointDescription
HeartRate	EndPointDescription
Italy	Country
IOP_target	EndPointDescription
FastingPlasmaGlucose_target	EndPointDescription
FastingPlasmaGlucose	EndPointDescription
Sulfonylureas	Drug
NPH/regular50/50	Drug
Secondary_OpenAngleGlaucoma	DisorderOrSyndrome
Stinging	EndPointDescription
Canagliflozin	Drug
PigmentaryGlaucoma	DisorderOrSyndrome
DoubleBlind	CTDesign
PulseRate	EndPointDescription
OpenLabel	CTDesign
Venezuela	Country
Implant	DeliveryMethod
Inhalation	DeliveryMethod
PremixedInsulin	Drug
Israel	Country
InsulinDetemir	Drug
Pioglitazone	Drug
Pain	EndPointDescription
Brinz/TimFC	Drug
LeastSquaresMean	AggregationMethod
Lispro	Drug
GeometricMean	AggregationMethod
OcularHypertension	DisorderOrSyndrome
Caucasian	Ethnicity
Lixisenatide	Drug
Germany	Country
SdDevDiff	SdDeviation
DiffGroupRelValue	DiffGroupValues
Poland	Country
PvalueDiff	PValue
Anemia	EndPointDescription
Millimoles_per_litre	BioAndMedicalUnit
IntentionToTreat	CTAnalysisApproach
OpenAngleGlaucoma	DisorderOrSyndrome
Vildagliptin	Drug
RelativeIncrement	RelativeChangeValue
UK	Country
NoChange	ChangeValue
Greece	Country
PValueNumAffected	PValue
Brimo/TimFC	Drug
RelativeReduction	RelativeChangeValue
NumberPatientsArm	NumberPatients
OralAntidiabeticAgent	Drug
HeartAttack	EndPointDescription
Gram	BioAndMedicalUnit
Unoprostone	Drug
Vehicle	Drug
BAK-preserved_Latanoprost	Drug
Morning	RelativeTime
MealGlucoseResponse	EndPointDescription
Trough_IOP	EndPointDescription
Mean	AggregationMethod
Betaxolol	Drug
Colombia	Country
Omarigliptin	Drug
FastingBloodGlucose_target	EndPointDescription
SouthKorea	Country
MicroUnits_per_milliliter	BioAndMedicalUnit
HbA1c	EndPointDescription
Colesevelam	Drug
SevereHypoglycemia	EndPointDescription
Second	BioAndMedicalUnit
Trav/TimFC	Drug
Bedtime	RelativeTime
Year	BioAndMedicalUnit
NumberPatientsCT	NumberPatients
FinalNumPatientsArm	NumberPatients
Exenatide	Drug
Dorzolamide	Drug
